Rank,MovieTitle,Studio,TotalGross,Theaters,OpeningGross,OpeningTheaters,OpenDate
32,The Shack,LG/S,"$57,386,418 ",2888,"$16,172,119 ",2888,28-Jul
33,Atomic Blonde,Focus,"$51,435,785 ",3326,"$18,286,420 ",3304,7-Apr
34,The Dark Tower,Sony,"$50,108,271 ",3451,"$19,153,698 ",3451,14-Apr
35,Snatched,Fox,"$45,852,178 ",3511,"$19,542,248 ",3501,4-Aug
36,The Great Wall,Uni.,"$45,157,105 ",3328,"$18,469,620 ",3326,19-May
37,Smurfs: The Lost Village,Sony,"$45,020,282 ",3610,"$13,210,449 ",3610,27-Jan
38,Going in Style (2017),WB (NL),"$45,018,541 ",3076,"$11,932,330 ",3061,11-Aug
39,All Eyez on Me,LG/S,"$44,922,302 ",2471,"$26,435,354 ",2471,27-Jan
40,xXx: The Return of Xander Cage,Par.,"$44,898,413 ",3651,"$20,130,142 ",3651,28-Apr
41,47 Meters Down,ENTMP,"$44,240,782 ",2471,"$11,205,561 ",2270,11-Aug
42,The Big Sick,LGF,"$42,574,927 ",2597,"$421,577 ",5,10-Mar
43,Ghost in the Shell (2017),Par.,"$40,563,557 ",3440,"$18,676,033 ",3440,3-Mar
44,Valerian and the City of a Thousand Planets,STX,"$40,470,894 ",3553,"$17,007,624 ",3553,28-Jun
45,King Arthur: Legend of the Sword,WB,"$39,175,066 ",3702,"$15,371,270 ",3702,24-Mar
46,"Everything, Everything",WB,"$34,121,140 ",2801,"$11,727,390 ",2801,26-Jul
47,Monster Trucks,Par.,"$33,370,166 ",3119,"$10,950,705 ",3119,5-May
48,Fist Fight,WB (NL),"$32,187,017 ",3185,"$12,201,873 ",3185,21-Jul
49,How to be a Latin Lover,PNT,"$32,149,404 ",1203,"$12,252,439 ",1118,14-Jul
50,Kidnap (2017),Aviron,"$30,457,042 ",2418,"$10,016,323 ",2378,7-Apr
51,Underworld: Blood Wars,SGem,"$30,353,973 ",3070,"$13,688,751 ",3070,2-Jun
52,Life (2017),Sony,"$30,234,022 ",3146,"$12,501,936 ",3146,11-Aug
53,Wind River,Wein.,"$30,119,807 ",2890,"$161,558 ",4,10-May
54,The Nut Job 2: Nutty by Nature,ORF,"$28,159,991 ",4003,"$8,342,311 ",4003,21-Apr
55,Rings,Par.,"$27,793,018 ",2931,"$13,002,632 ",2931,10-Mar
56,Logan Lucky,BST,"$27,131,135 ",3031,"$7,600,036 ",3031,31-Mar
57,Resident Evil: The Final Chapter,SGem,"$26,830,068 ",3104,"$13,601,682 ",3104,2-Jun
58,The House,WB (NL),"$25,584,504 ",3134,"$8,724,795 ",3134,31-Mar
59,Gifted,FoxS,"$24,801,212 ",2215,"$446,380 ",56,24-Feb
60,The Bye Bye Man,STX,"$22,395,806 ",2220,"$13,501,349 ",2220,11-Aug
61,Rough Night,Sony,"$22,105,643 ",3162,"$8,004,283 ",3162,9-Aug
62,Sleepless,ORF,"$20,783,704 ",1803,"$8,344,128 ",1803,7-Jul
63,Diary of a Wimpy Kid: The Long Haul,Fox,"$20,738,724 ",3174,"$7,126,084 ",3157,26-Apr
64,The Circle (2017),STX,"$20,497,844 ",3163,"$9,034,148 ",3163,21-Jul
65,Baahubali 2: The Conclusion,GrtIndia,"$20,186,659 ",425,"$10,430,497 ",425,17-Mar
66,Leap!,Wein.,"$19,071,001 ",2705,"$4,730,038 ",2575,2-Jun
67,American Assassin,LGF,"$19,019,422 ",3154,"$14,846,778 ",3154,1-Feb
68,CHiPs,WB,"$18,600,152 ",2464,"$7,722,802 ",2464,30-Jun
69,Home Again,ORF,"$18,544,017 ",3036,"$8,567,881 ",2940,28-Jul
70,The Zookeeper's Wife,Focus,"$17,445,186 ",1057,"$3,288,835 ",541,5-May
71,The Glass Castle,LGF,"$16,878,553 ",1461,"$4,678,548 ",1461,28-Jul
72,Detroit,Annapurna,"$16,762,682 ",3007,"$350,190 ",20,14-Jun
73,The Case for Christ,PFR,"$14,682,684 ",1386,"$3,967,885 ",1174,20-Jan
74,Wish Upon,BG,"$14,271,046 ",2250,"$5,467,084 ",2250,2-Jun
75,It Comes At Night,A24,"$13,985,117 ",2533,"$5,988,370 ",2533,18-Aug
76,Born in China,BV,"$13,873,211 ",1508,"$4,790,367 ",1508,7-Apr
77,Megan Leavey,BST,"$13,406,883 ",1956,"$3,810,867 ",1956,11-Aug
78,The Founder,Wein.,"$12,786,053 ",1115,"$3,404,102 ",1115,1-Sep
79,Before I Fall,ORF,"$12,241,122 ",2346,"$4,690,214 ",2346,21-Apr
80,Unforgettable (2017),WB,"$11,368,012 ",2417,"$4,785,431 ",2417,28-Apr
81,The Beguiled (2017),Focus,"$10,576,669 ",941,"$229,292 ",4,28-Jul
82,The Belko Experiment,BH Tilt,"$10,166,820 ",1341,"$4,137,230 ",1341,25-May
83,mother!,Par.,"$9,620,398 ",2368,"$7,534,673 ",2368,1-Mar
84,Rock Dog,LG/S,"$9,420,546 ",2077,"$3,704,749 ",2077,28-Jul
85,The Lost City of Z,BST,"$8,580,410 ",866,"$110,175 ",4,30-Jun
86,The Promise (2017),ORF,"$8,224,288 ",2251,"$4,095,718 ",2251,3-Feb
87,A Cure for Wellness,Fox,"$8,106,986 ",2704,"$4,356,941 ",2704,28-Jul
88,The Space Between Us,STX,"$7,885,294 ",2812,"$3,775,596 ",2812,28-Apr
89,Gold,Wein.,"$7,227,038 ",2166,"$3,471,316 ",2166,13-Jan
90,I am Not Your Negro,Magn.,"$7,123,919 ",320,"$686,378 ",43,24-Mar
91,Beatriz At Dinner,RAtt.,"$7,098,050 ",683,"$141,959 ",5,21-Apr
92,Birth of the Dragon,BH Tilt,"$6,871,070 ",1633,"$2,702,430 ",1618,21-Jul
93,Lowriders,BH Tilt,"$6,179,955 ",365,"$2,403,885 ",295,14-Apr
94,Maudie,SPC,"$6,076,109 ",233,"$45,920 ",4,17-Mar
95,Paris Can Wait,SPC,"$5,614,139 ",447,"$98,850 ",4,24-Feb
96,All Saints,Sony,"$5,396,086 ",846,"$1,514,278 ",846,1-Sep
97,Your Name.,FUN,"$5,017,246 ",311,"$1,813,781 ",311,14-Jul
98,The Book of Henry,Focus,"$4,288,104 ",650,"$1,424,540 ",579,7-Jul
99,The Hero,Orch.,"$4,074,662 ",447,"$45,317 ",4,25-Aug
100,Sleight,BH Tilt,"$3,930,990 ",591,"$1,701,785 ",565,5-May
101,A United Kingdom,FoxS,"$3,902,185 ",317,"$66,510 ",4,27-Jan
102,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,SPC,"$3,814,868 ",373,"$99,211 ",5,7-Jul
103,Table 19,FoxS,"$3,614,896 ",868,"$1,597,928 ",868,19-May
104,Their Finest,STX,"$3,603,484 ",330,"$76,197 ",4,2-Jun
105,Phoenix Forgotten,CLF,"$3,600,146 ",1626,"$1,816,499 ",1626,17-Mar
106,An Inconvenient Sequel: Truth to Power,Par.,"$3,496,795 ",556,"$124,823 ",4,16-Jun
107,Raees,Zee,"$3,262,954 ",265,"$1,798,379 ",265,2-Jun
108,Close Encounters of the Third Kind (40th Anniversary),Sony,"$3,077,585 ",901,"$1,767,758 ",901,11-Aug
109,Colossal,Neon,"$3,029,287 ",327,"$120,226 ",4,18-Aug
110,Ingrid Goes West,Neon,"$2,909,641 ",647,"$135,301 ",3,10-Jan
111,Ballerina (2017) [Canada Only],EOne,"$2,844,490 ",237,"$181,091 ",77,23-Jun
112,The Oscar Nominated Short Films 2017,Shrts.,"$2,835,355 ",272,"$692,399 ",206,4-Aug
113,Kedi,Osci.,"$2,810,235 ",130,"$40,103 ",1,14-Apr
114,My Cousin Rachel,FoxS,"$2,716,368 ",531,"$969,941 ",523,14-Apr
115,Wolf Warrior 2,HC,"$2,711,906 ",53,"$219,022 ",53,17-Feb
116,Mayweather vs. McGregor,Fathom,"$2,620,183 ",532,"$2,620,183 ",532,9-Mar
117,Newsies: The Broadway Musical,Fathom,"$2,545,060 ",780,"$1,333,538 ",780,3-Mar
119,The Salesman,Cohen,"$2,402,067 ",115,"$71,078 ",3,4-Aug
120,T2: Trainspotting,TriS,"$2,402,004 ",331,"$170,575 ",5,23-May
121,Hazlo Como Hombre (Do It Like An Hombre),PNT,"$2,398,251 ",382,"$1,174,484 ",382,21-Jul
122,The Resurrection of Gavin Stone,BH Tilt,"$2,303,792 ",890,"$1,206,771 ",890,18-Aug
123,Tulip Fever,Wein.,"$2,291,801 ",772,"$1,158,017 ",765,8-Jun
124,Collide,ORF,"$2,280,004 ",2045,"$1,512,824 ",2045,21-Jul
125,The Lovers,A24,"$2,194,521 ",443,"$66,286 ",4,5-May
126,Un Padre No Tan Padre,PNT,"$2,156,047 ",312,"$978,894 ",312,30-Jun
127,Badrinath Ki Dulhania,FIP,"$1,993,259 ",156,"$862,008 ",152,1-Feb
128,Good Time,A24,"$1,947,857 ",721,"$125,101 ",4,25-Aug
129,Everybody Loves Somebody,PNT,"$1,915,789 ",333,"$924,201 ",333,7-Apr
130,A Quiet Passion,MBox,"$1,865,396 ",135,"$45,825 ",6,20-Jan
131,Toilet: Ek Prem Katha,Relbig.,"$1,830,715 ",178,"$678,436 ",178,12-Jul
132,The Wall,RAtt.,"$1,803,064 ",540,"$897,955 ",540,6-Jan
133,Free Fire,A24,"$1,799,312 ",1070,"$994,431 ",1070,12-May
135,The Last Word,BST,"$1,783,421 ",380,"$31,630 ",4,5-Aug
136,Slamma Jamma,RivR,"$1,687,000 ",502,"$1,687,000 ",502,20-Jan
137,Jab Harry Met Sejal,Yash,"$1,664,648 ",280,"$1,284,740 ",280,17-Mar
138,Jolly Llb 2,FIP,"$1,654,254 ",173,"$774,355 ",173,17-Feb
139,The Little Hours,G&S,"$1,626,205 ",114,"$56,676 ",2,28-Apr
140,A Ghost Story,A24,"$1,587,942 ",329,"$104,030 ",4,16-Jun
141,Menashe,A24,"$1,582,631 ",126,"$62,078 ",3,23-Jun
142,Sword Art Online: The Movie - Ordinal Scale,Elev.,"$1,522,976 ",621,"$196,454 ",578,24-Feb
143,Inhumans,Imax,"$1,521,787 ",393,"$1,135,440 ",393,19-May
144,A Taxi Driver,WGUSA,"$1,496,276 ",41,"$331,854 ",41,5-May
145,The Wedding Plan,RAtt.,"$1,412,404 ",123,"$31,658 ",8,30-Jun
146,The Dinner,Orch.,"$1,323,312 ",505,"$653,944 ",505,7-Apr
147,Personal Shopper,IFC,"$1,305,195 ",153,"$79,175 ",4,25-Aug
148,Churchill,Cohen,"$1,281,258 ",215,"$408,891 ",215,19-Jul
149,The Sense of an Ending,CBS,"$1,274,420 ",282,"$39,692 ",4,25-Aug
151,3 Idiotas,PNT,"$1,249,233 ",349,"$609,249 ",349,14-Jul
152,The Women's Balcony,Men.,"$1,171,670 ",34,"$16,620 ",2,20-Jan
153,Step (2017),FoxS,"$1,115,919 ",306,"$146,488 ",29,31-Mar
154,The Battleship Island,CJ,"$1,104,957 ",41,"$59,344 ",1,24-Feb
155,Lady Macbeth,RAtt.,"$1,104,038 ",131,"$64,537 ",5,28-Jun
156,Terminator 2: Judgment Day 3D,Distrib.,"$1,032,681 ",371,"$552,773 ",371,7-Feb
157,Yu-Gi-Oh! The Dark Side of Dimensions,SV,"$1,015,339 ",552,"$656,756 ",381,14-Apr
158,Landline,Magn.,"$938,000 ",144,"$52,555 ",4,3-Feb
159,Tubelight,Yash,"$930,058 ",338,"$930,058 ",338,16-Jun
160,The Red Turtle,SPC,"$921,974 ",127,"$21,010 ",3,17-Feb
161,The Trip to Spain,IFC,"$906,944 ",140,"$40,875 ",3,12-Apr
162,Frantz,MBox,"$880,883 ",106,"$18,745 ",2,28-Jun
163,Journey to the West: The Demons Strike Back,Sony,"$880,346 ",67,"$463,883 ",67,23-Jun
164,Jagga Jasoos,UTV,"$861,740 ",210,"$490,232 ",210,3-Feb
165,George Takei's Allegiance,Fathom,"$784,850 ",476,"$784,850 ",476,7-Apr
166,Patti Cake$,FoxS,"$782,137 ",303,"$67,599 ",14,16-Jun
167,Mubarakan,Sony,"$757,057 ",128,"$310,170 ",128,10-Mar
168,The Exception,A24,"$708,973 ",48,"$21,351 ",2,18-Aug
169,Canelo Vs. GGG: Supremacy,Fathom,"$703,396 ",465,"$703,396 ",465,18-Aug
170,Chris Brown: Welcome To My Life,Fathom,"$693,984 ",413,"$98,088 ",293,25-Aug
171,The Devotion of Suspect X,CL,"$686,435 ",46,"$323,207 ",43,14-Jul
172,May It Last: A Portrait Of The Avett Brothers,Osci.,"$681,589 ",326,"$10,500 ",8,11-Aug
173,Wilson,FoxS,"$653,951 ",311,"$336,227 ",310,25-Aug
174,Lost in Paris,Osci.,"$631,050 ",48,"$4,510 ",1,7-Apr
175,Columbus,INDEP,"$629,585 ",61,"$26,820 ",2,11-Aug
176,Shubh Mangal Saavdhan,Eros,"$629,427 ",80,"$259,999 ",80,5-May
177,The Only Living Boy in New York,RAtt.,"$619,272 ",289,"$54,458 ",15,24-Feb
178,Battle of Memories,CL,"$594,552 ",42,"$224,942 ",42,2-Jun
179,Tommy's Honour,RAtt.,"$569,306 ",167,"$209,190 ",167,19-May
180,Bitter Harvest,RAtt.,"$557,241 ",127,"$219,357 ",127,23-Jun
181,The Midwife,MBox,"$555,737 ",44,"$21,341 ",3,7-Jul
183,Brigsby Bear,SPC,"$523,651 ",408,"$39,652 ",3,28-Jul
185,Fairy Tail: Dragon Cry,FUN,"$519,461 ",304,"$169,203 ",292,23-Jun
186,Raw (2017),FCW,"$514,870 ",45,"$24,825 ",2,25-Aug
187,Our President,CJ,"$507,268 ",41,"$9,421 ",1,22-Mar
188,Once Upon A Time,WGUSA,"$485,457 ",51,"$249,933 ",51,2-Jun
189,Confidential Assignment,CJ,"$475,618 ",13,"$21,228 ",2,14-Jul
190,Duckweed,CL,"$471,575 ",30,"$160,739 ",27,16-Jun
192,Phillauri,FIP,"$467,596 ",74,"$260,982 ",74,8-Sep
193,Viceroy's House,IFC,"$457,595 ",121,"$48,134 ",4,5-May
194,Sailor Moon R: The Movie,Elev.,"$452,053 ",151,"$253,490 ",145,11-Aug
195,Song to Song,BG,"$443,684 ",95,"$50,559 ",4,7-Apr
196,One Piece Film: Gold,FUN,"$423,593 ",372,"$50,241 ",13,19-Jan
197,A Gentleman,FIP,"$418,870 ",135,"$191,530 ",135,8-Sep
198,"Love, Kennedy",Purd.,"$400,049 ",19,"$45,285 ",19,13-Jan
199,Chasing Trane: The John Coltrane Documentary,Abr.,"$393,970 ",17,"$16,626 ",1,16-Jun
202,Kung Fu Yoga,WGUSA,"$362,657 ",27,"$111,979 ",14,21-Jul
203,Ok Jaanu,FIP,"$355,922 ",121,"$225,968 ",121,21-Jul
204,Long Strange Trip - The Untold Story of The Grateful Dead,Abr.,"$351,957 ",56,"$33,272 ",56,31-Mar
205,Canelo vs. Chavez Jr.,Fathom,"$343,387 ",273,"$343,387 ",273,11-Aug
206,This Is Not What I Expected,WGUSA,"$337,670 ",36,"$135,252 ",36,30-Jun
207,Letters from Baghdad,Vita.,"$332,228 ",20,"$19,725 ",2,4-Aug
208,Chuck,IFC,"$320,725 ",120,"$34,565 ",4,18-Aug
209,Beach Rats,Neon,"$316,798 ",67,"$46,451 ",3,25-Aug
211,Citizen Jane,IFC,"$313,411 ",25,"$31,451 ",2,27-Jan
212,My Life as a Zucchini,GK,"$309,766 ",53,"$31,853 ",2,20-Jan
213,Buddies in India,CL,"$293,194 ",55,"$181,705 ",55,9-Jun
214,I Do... Until I Don't,TFA,"$279,263 ",165,"$170,775 ",165,2-Jun
215,After the Storm,FM,"$272,132 ",38,"$27,880 ",6,31-Mar
216,Stalker (2017 re-release),Jan.,"$269,881 ",6,"$20,540 ",1,20-Jan
217,Wakefield,IFC,"$262,599 ",30,"$11,299 ",1,28-Jul
218,"I, Daniel Blake",IFC,"$260,354 ",45,"$18,682 ",12,7-Apr
219,Cezanne et moi,Magn.,"$257,597 ",29,"$15,744 ",2,28-Jul
220,Dean,CBS,"$254,536 ",83,"$60,366 ",15,11-Aug
221,Sarkar 3,Eros,"$249,588 ",107,"$164,364 ",107,8-Sep
222,Band Aid,IFC,"$248,370 ",35,"$29,013 ",3,3-Feb
224,The Ottoman Lieutenant,Pala.,"$240,978 ",216,"$149,830 ",216,16-Jun
225,Crown Heights,IFC,"$231,378 ",91,"$30,173 ",3,10-Feb
226,Gook,Gold.,"$229,486 ",27,"$27,044 ",2,5-May
227,Jeremiah Tower,Orch.,"$228,153 ",33,"$20,268 ",2,11-Aug
228,Railroad Tigers,WGUSA,"$218,044 ",43,"$116,211 ",43,27-Jan
229,Truman,FR,"$210,840 ",22,"$18,258 ",3,26-May
230,Donnie Darko (2017 Re-Release),Arrow,"$207,971 ",21,"$57,259 ",21,4-Jan
231,The Prison,WGUSA,"$207,481 ",23,"$80,376 ",23,14-Jul
232,The Adventurers,WGUSA,"$206,020 ",17,"$68,614 ",17,25-May
233,Risk,Neon,"$200,219 ",45,"$76,327 ",34,2-Jun
234,Spark: A Space Tail,ORF,"$196,458 ",365,"$116,873 ",365,27-Jan
235,The Bad Batch,Neon,"$180,851 ",46,"$89,111 ",30,2-Jun
236,Past Life,Orion,"$180,099 ",23,"$14,960 ",4,14-Aug
237,Graduation,IFC,"$175,975 ",36,"$10,305 ",2,13-Jan
239,Champion,AAE,"$175,232 ",31,"$108,591 ",31,10-Feb
240,Mr. Gaga: A True Story of Love and Dance,Abr.,"$173,994 ",8,"$25,354 ",2,7-Apr
241,David Lynch: The Art Life,Jan.,"$171,419 ",8,"$10,823 ",1,16-Jun
242,11-Sep,ADC,"$170,000 ",425,"$170,000 ",425,18-Aug
243,Valley of Bones,SG,"$168,387 ",300,"$107,393 ",300,4-Aug
244,Walk With Me,Gathr,"$166,903 ",61,"$9,932 ",1,9-Jun
245,Whose Streets?,Magn.,"$166,100 ",39,"$43,804 ",24,10-Feb
246,Manifesto (2017),FR,"$161,101 ",10,"$9,628 ",1,30-Aug
247,13 Minutes,SPC,"$158,834 ",19,"$11,750 ",3,30-Jun
248,The Journey,IFC,"$155,475 ",26,"$32,895 ",2,21-Jun
249,Endless Poetry,Abk.,"$153,440 ",18,"$28,591 ",2,19-May
250,Dolores,PBS,"$152,440 ",18,"$13,534 ",1,19-May
251,The Void,Scre.,"$151,042 ",31,"$50,026 ",31,16-Jun
252,Restless Creature: Wendy Whelan,Abr.,"$147,780 ",8,"$19,879 ",2,21-Apr
253,Marjorie Prime,FR,"$146,862 ",12,"$20,668 ",6,17-Mar
254,Rebel in the Rye,IFC,"$144,377 ",81,"$37,967 ",4,20-Jan
255,I Called Him Morgan,SD,"$128,986 ",11,"$12,902 ",1,11-Aug
256,California Typewriter,Grav.,"$128,560 ",18,"$5,031 ",1,16-Jun
257,City of Ghosts,IFC,"$128,015 ",18,"$13,601 ",2,7-Jul
258,Marie Curie: The Courage of Knowledge,Society,"$127,986 ",11,"$18,600 ",6,28-Jul
259,The B-Side: Elsa Dorfman's Portrait Photography,Neon,"$125,227 ",25,"$12,035 ",3,9-Jun
260,Moka,FM,"$124,837 ",18,"$10,094 ",1,7-Apr
261,Buena Vista Social Club: Adios,BG,"$123,445 ",80,"$64,469 ",80,16-Jun
262,Polina,Osci.,"$117,908 ",30,"$12,588 ",2,10-Mar
263,Our Time Will Come,CL,"$114,560 ",18,"$50,619 ",18,26-May
264,Abacus: Small Enough to Jail,PBS,"$113,278 ",8,"$12,528 ",1,14-Apr
266,"We Love You, Sally Carmichael!",Purd.,"$110,760 ",11,"$30,951 ",7,19-May
267,The Trouble with Terkel (2017),Indic.,"$110,289 ",12,"$32,784 ",12,3-Mar
268,Reset (Ni Shi Ying Jiu),WGUSA,"$108,970 ",20,"$54,276 ",20,11-Aug
269,Brad's Status,Annapurna,"$108,037 ",453,"$89,921 ",4,3-Feb
270,Like Crazy (2017),Strand,"$107,362 ",13,"$5,799 ",2,8-Sep
271,Fabricated City,CJ,"$104,874 ",7,"$24,808 ",7,5-May
272,Bolshoi Ballet: Hero of our Time,Fathom,"$104,837 ",401,"$104,837 ",401,25-Aug
273,The Lure,Jan.,"$101,657 ",7,"$7,370 ",1,28-Apr
274,Some Like It Hot (Qing Shung),CL,"$100,026 ",10,"$42,230 ",10,17-Feb
275,Munna Michael,Eros,"$99,629 ",75,"$64,949 ",75,3-May
276,"Tim Timmerman, Hope of America",Purd.,"$97,727 ",12,"$50,604 ",12,12-May
277,The Mayor,WGUSA,"$96,777 ",29,"$47,128 ",29,28-Apr
278,The King's Case Note,CJ,"$90,959 ",7,"$8,462 ",2,5-May
279,The Last Dalai Lama?,Mats.,"$89,431 ",9,"$9,786 ",4,4-Aug
280,Poster Boys,Sony,"$89,075 ",50,"$51,264 ",50,14-Jul
281,Warriors of the Dawn,FIP,"$84,532 ",32,"$41,959 ",32,3-Mar
282,Chapter & Verse,Pala.,"$84,147 ",5,"$31,331 ",1,14-Jul
283,"Hare Krishna! The Mantra, the Movement and the Swami Who Started it All",Abr.,"$83,072 ",4,"$22,310 ",1,31-Mar
284,The Fencer,CFI,"$78,656 ",7,"$5,572 ",2,10-Mar
285,Stefan Zweig: Farewell to Europe,FRun,"$78,372 ",4,"$11,729 ",1,12-May
286,Harold and Lillian: A Hollywood Love Story,Zeit.,"$76,428 ",6,"$3,510 ",2,3-Mar
287,Buster's Mal Heart,WGUSA,"$73,121 ",18,"$7,137 ",1,12-May
288,Score: A Film Music Documentary,Grav.,"$70,102 ",8,"$8,088 ",1,24-Feb
289,Pop Aye,KL,"$69,729 ",5,"$3,598 ",1,25-Aug
290,The Nile Hilton Incident,Strand,"$69,592 ",9,"$8,183 ",2,24-Feb
291,My Entire High School Sinking Into the Sea,GK,"$68,883 ",25,"$13,684 ",3,8-Sep
292,3 Generations,Wein.,"$68,852 ",37,"$18,131 ",6,9-Jun
293,Alive and Kicking,Magn.,"$68,485 ",11,"$12,201 ",11,14-Jul
294,Memoir of a Murderer,WGUSA,"$61,731 ",8,"$27,665 ",8,5-May
295,Donald Cried,Orch.,"$61,406 ",17,"$7,977 ",2,13-Jan
296,Worlds Apart,CLS,"$60,298 ",2,"$16,353 ",1,13-Jan
297,Bang! The Bert Berns Story,Abr.,"$59,299 ",5,"$3,923 ",1,9-Aug
298,Because of Gracia,AAE,"$58,529 ",32,"$52,171 ",32,21-Apr
299,Tomorrow,UTMW,"$57,587 ",20,"$1,480 ",1,17-Mar
300,Extraordinary Mission,Crimson,"$54,174 ",20,"$28,649 ",20,10-Feb
301,Turn It Around: The Story of East Bay Punk,Abr.,"$53,735 ",3,"$5,211 ",1,17-Feb
302,God of War,WGUSA,"$53,496 ",27,"$23,912 ",27,28-Jul
303,My Journey Through French Cinema,Cohen,"$52,214 ",4,"$10,636 ",3,1-Sep
304,Beautiful Accident,CL,"$51,766 ",15,"$25,801 ",15,24-Mar
305,Tickling Giants,Sarkasmos,"$51,499 ",17,"$8,159 ",1,24-Mar
306,The Unknown Girl,IFC,"$50,601 ",22,"$13,477 ",2,21-Jul
307,The Ornithologist,Strand,"$50,511 ",6,"$6,132 ",2,21-Jul
308,Keep Quiet,KL,"$50,451 ",3,"$6,500 ",1,21-Apr
309,Il Boom (2017 re-release),Rialto,"$49,406 ",2,"$8,164 ",1,3-Feb
310,Person To Person,Magn.,"$48,499 ",13,"$11,852 ",3,13-Jan
311,Saving Banksy,PDF,"$47,965 ",6,"$1,317 ",1,13-Jan
312,From the Land of the Moon,IFC,"$47,748 ",10,"$4,473 ",2,7-Jul
313,Panique (2017 re-release),Rialto,"$46,041 ",3,"$7,062 ",1,12-May
314,Maurice (2017 reissue),Cohen,"$45,926 ",4,"$6,972 ",1,9-Jun
315,"Leon Morin, Priest (2017 re-release)",Rialto,"$44,390 ",2,"$11,462 ",1,3-Mar
316,The Teacher,FM,"$44,266 ",5,"$15,091 ",5,10-Mar
317,Bluebeard,WGUSA,"$43,144 ",14,"$21,234 ",14,28-Apr
318,The Death of Louis XIV,CGld,"$43,113 ",6,"$8,002 ",1,14-Apr
319,Hermia & Helena,KL,"$42,055 ",4,"$12,986 ",2,28-Apr
320,One Week and a Day,Osci.,"$41,614 ",16,"$6,833 ",3,7-Apr
323,Twenty Two,CL,"$40,235 ",11,"$22,222 ",11,8-Sep
324,The Commune,Magn.,"$38,737 ",13,"$9,249 ",7,2-Jun
325,A Woman's Life,KL,"$37,626 ",4,"$11,483 ",2,8-Sep
326,Growing Up Smith,Good Deed,"$35,312 ",12,"$14,867 ",5,20-Jan
328,I am the Blues,FM,"$34,438 ",5,"$5,105 ",4,27-Jan
329,Dave Made a Maze,Grav.,"$34,117 ",17,"$17,135 ",17,25-Aug
330,Afterimage,FM,"$33,443 ",6,"$5,832 ",1,31-Mar
